id,time,x,y,z,theta,vx,vy,vz,wx,wy,wz
2022-12-14-08-02-07,1671026553.9229445,-50.20960501447137,136.22644383855462,-12.470585844893472,-1.146148032791272,0.03544270992279053,-0.738538384437561,0.08696574717760086,-0.11316567659378052,0.2667599022388458,0.20914317667484283
2022-12-14-08-02-07,1671026553.9669797,-50.206786078547644,136.19998098959536,-12.467026591607862,-1.1375518343466762,0.07299107313156128,-0.5734674334526062,0.1156412661075592,-0.11528114229440689,0.1988113820552826,0.18851056694984436
2022-12-14-08-02-07,1671026554.0109792,-50.2029267349646,136.18088607414305,-12.463063835646702,-1.132832046359298,0.1252128779888153,-0.4562937021255493,0.07866985350847244,-0.24227377772331238,-0.23060768842697144,0.05848964676260948
2022-12-14-08-02-07,1671026554.0549722,-50.19952126425058,136.1645701991082,-12.461975664968204,-1.1320045998689703,0.14454331994056702,-0.36915430426597595,0.008142294362187386,-0.03274412080645561,-0.08189356327056885,0.020149337127804756
2022-12-14-08-02-07,1671026554.0989487,-50.192876096135166,136.15130425242035,-12.461721644087216,-1.1286210114978215,0.18277329206466675,-0.2827298939228058,-0.002977263182401657,-0.015889829024672508,-0.03624766319990158,0.09895245730876923
2022-12-14-08-02-07,1671026554.1429484,-50.18511941411225,136.14149618308005,-12.462004673976113,-1.1248928825894386,0.22316831350326538,-0.23245206475257874,-0.012293042615056038,-0.14169952273368835,0.19819419085979462,0.11098212003707886
2022-12-14-08-02-07,1671026554.1909761,-50.174665191330874,136.13358297982577,-12.462519910735297,-1.118396255836917,0.2938360869884491,-0.18132582306861877,-0.002181589137762785,-0.050654858350753784,-0.06979910284280777,0.21013124287128448
2022-12-14-08-02-07,1671026554.2349358,-50.162072054547004,136.13023495564465,-12.460588612418956,-1.1095936814775578,0.3105241656303406,-0.04028657078742981,0.1095324456691742,0.15077859163284302,-0.15083879232406616,0.2155122607946396
2022-12-14-08-02-07,1671026554.2349427,-50.149728392344635,136.1280192981726,-12.455364499326556,-1.098641234266868,0.27857843041419983,-0.04455563426017761,0.08599095046520233,-0.14895190298557281,0.13138607144355774,0.2492826282978058
2022-12-14-08-02-07,1671026554.282965,-50.13965028179591,136.12704418609593,-12.452690434643,-1.0884906787754538,0.24078871309757233,-0.03434193134307861,0.03969872370362282,-0.3939063847064972,0.25611791014671326,0.2799515128135681
2022-12-14-08-02-07,1671026554.3142436,-50.1293578451717,136.12620325152176,-12.452454730702785,-1.0748886981989372,0.24302349984645844,-0.014031901955604553,-0.013862279243767262,-0.2411731481552124,0.20632734894752502,0.3613612949848175
2022-12-14-08-02-07,1671026554.3589413,-50.11897417603733,136.12591290402543,-12.452673652678971,-1.0601577783376834,0.24629345536231995,-0.008212953805923462,-0.016003044322133064,-0.25246167182922363,0.17310748994350433,0.32781749963760376
2022-12-14-08-02-07,1671026554.406952,-50.10575589043362,136.12512582259924,-12.453830862707912,-1.0473925090118192,0.29874661564826965,-0.024829715490341187,-0.03908181190490723,-0.08566496521234512,0.025204479694366455,0.234702467918396
2022-12-14-08-02-07,1671026554.454936,-50.09378104379346,136.12357356684157,-12.455117735553445,-1.041021606883326,0.349343478679657,-0.04933115839958191,-0.03937589004635811,0.02394775301218033,0.032335590571165085,0.13481248915195465
2022-12-14-08-02-07,1671026554.498986,-50.07851594038353,136.1205286770707,-12.456664155343391,-1.0370965888833068,0.4460221529006958,-0.09042173624038696,-0.035629790276288986,0.07319797575473785,-0.2556537389755249,0.06958755850791931
2022-12-14-08-02-07,1671026554.5429556,-50.06005467311408,136.11521671715545,-12.458098134810355,-1.0367863639644048,0.5105971097946167,-0.15846046805381775,-0.024919915944337845,-0.1799742877483368,0.1440979689359665,-0.018444541841745377
2022-12-14-08-02-07,1671026554.5869985,-50.03794252066944,136.108358870857,-12.457946887790646,-1.0351591971605536,0.5733253955841064,-0.18035238981246948,0.06256042420864105,0.040738508105278015,-0.018600184470415115,0.14796380698680878
2022-12-14-08-02-07,1671026554.5870273,-50.01539371963,136.09919126071318,-12.456256748577472,-1.0370216931402179,0.4979429244995117,-0.20644134283065796,0.036929406225681305,0.18250975012779236,-0.21313416957855225,-0.10258180648088455
2022-12-14-08-02-07,1671026554.634969,-49.99830665975901,136.09166039542035,-12.454052920940542,-1.0402825134779623,0.3980623781681061,-0.20426484942436218,0.04961417242884636,0.01902279257774353,0.076048843562603,-0.049279674887657166
2022-12-14-08-02-07,1671026554.6661146,-49.98322853326435,136.0824217307286,-12.451915578862863,-1.039720573035556,0.33981776237487793,-0.2292560636997223,0.04034389182925224,-0.06186538189649582,-0.15456481277942657,0.04581977799534798
2022-12-14-08-02-07,1671026554.7069993,-49.97273076445526,136.07305721682582,-12.450740736060654,-1.0380425166999034,0.2658046782016754,-0.2528773248195648,0.02911350131034851,-0.0628303736448288,0.011673416942358017,0.047026924788951874
2022-12-14-08-02-07,1671026554.7509673,-49.963299830794824,136.0612402684238,-12.450104494989612,-1.03614990024303,0.2297639101743698,-0.3293808698654175,0.002661006525158882,-0.015073612332344055,-0.214974045753479,0.05855635926127434
2022-12-14-08-02-07,1671026554.7989442,-49.95705722273125,136.04611443417457,-12.450791396000291,-1.0363672261227175,0.16034960746765137,-0.4129379689693451,-0.012813683599233627,-0.01616067811846733,0.02925136871635914,-0.050744056701660156
2022-12-14-08-02-07,1671026554.8429427,-49.95084901045678,136.0257875342128,-12.451409338855614,-1.0385460155491195,0.1262522041797638,-0.5381894111633301,-0.027644066140055656,-0.09007655084133148,-0.09440755844116211,-0.040256988257169724
2022-12-14-08-02-07,1671026554.886942,-49.94735659393832,136.00143186597336,-12.453159068115452,-1.0402484270097152,0.08766388893127441,-0.6743857860565186,-0.03684384748339653,-0.16028781235218048,0.02506205439567566,-0.0693192258477211
2022-12-14-08-02-07,1671026554.9309578,-49.94476225382281,135.97146523902177,-12.45440814140542,-1.0422259804014145,0.06505846977233887,-0.8227400779724121,-0.014119144529104233,-0.251889169216156,0.13757364451885223,-0.03580992668867111
2022-12-14-08-02-07,1671026554.9749997,-49.93846612814407,135.938539253508,-12.45473786541498,-1.0407543820593457,0.12658435106277466,-0.8859579563140869,0.01694602519273758,-0.14254789054393768,-0.03098529577255249,0.041611962020397186
2022-12-14-08-02-07,1671026555.0229952,-49.932516768224936,135.90443083966616,-12.454372948264181,-1.0401978810218206,0.17532801628112793,-0.7756175994873047,-0.001652635633945465,0.3262198269367218,-0.21677635610103607,0.14594820141792297
2022-12-14-08-02-07,1671026555.0669408,-49.92725972277192,135.8766081344038,-12.453433837799977,-1.0353153698024118,0.14824384450912476,-0.6921102404594421,0.025717943906784058,0.2653602361679077,-0.10680453479290009,0.08693009614944458
2022-12-14-08-02-07,1671026555.066945,-49.92142706763259,135.85139998687907,-12.45240381134792,-1.0322652783416273,0.15768036246299744,-0.6135154962539673,0.018061134964227676,0.39627429842948914,-0.317268043756485,0.1322201043367386
2022-12-14-08-02-07,1671026555.1109471,-49.91626181959247,135.82660281350275,-12.45144334614156,-1.0297918158335093,0.13401073217391968,-0.5714908242225647,0.03007662482559681,0.12608033418655396,-0.07214591652154922,-0.017732612788677216
2022-12-14-08-02-07,1671026555.1529856,-49.91008809470657,135.80417376501703,-12.450748033416431,-1.032785909662197,0.1702454686164856,-0.5732399821281433,-0.0022153202444314957,-0.16691218316555023,-0.11897901445627213,-0.08350621163845062
2022-12-14-08-02-07,1671026555.1949563,-49.900530203704854,135.78097266539794,-12.451703002407875,-1.03391957394729,0.2230803370475769,-0.5542551279067993,-0.027364689856767654,0.04258859157562256,0.04322898015379906,-0.004411575384438038
2022-12-14-08-02-07,1671026555.2389994,-49.89068792186912,135.75772694926837,-12.453362110376286,-1.0325419081706237,0.2856556475162506,-0.6133705377578735,-0.048405084758996964,-0.14713223278522491,0.052091941237449646,0.05914878100156784
2022-12-14-08-02-07,1671026555.2829773,-49.87650556818225,135.7327132317257,-12.455626663141423,-1.0286175785394733,0.3772680461406708,-0.6669339537620544,-0.05304402858018875,0.04532107710838318,-0.027256255969405174,0.11571934819221497
2022-12-14-08-02-07,1671026555.326949,-49.86046095422408,135.70518471527058,-12.456278894353241,-1.0245009621887209,0.4541497230529785,-0.7147701382637024,0.031138736754655838,0.10479739308357239,-0.1944466382265091,0.0802539736032486
2022-12-14-08-02-07,1671026555.3709517,-49.842909271062894,135.67633013250727,-12.455592761838075,-1.0251071228395023,0.3807443082332611,-0.6369374394416809,0.04167843610048294,0.2755735218524933,0.19338080286979675,-0.06873226910829544
2022-12-14-08-02-07,1671026555.4149854,-49.828263074183404,135.6536389642644,-12.452153565772276,-1.024690084889407,0.3293723464012146,-0.5795941352844238,0.08152604848146439,-0.15825632214546204,0.46645087003707886,0.03143347054719925
2022-12-14-08-02-07,1671026555.4589372,-49.81474176880526,135.63106955344722,-12.448861543406991,-1.023020872870962,0.3180302083492279,-0.5071494579315186,0.0838240385055542,0.03228532522916794,0.15528728067874908,0.006161724682897329
2022-12-14-08-02-07,1671026555.5029461,-49.80346609057925,135.61203236977187,-12.445568197619092,-1.0233498734852577,0.2952868342399597,-0.46827954053878784,0.08673230558633804,-0.059660352766513824,0.140974223613739,-0.011579714715480804
2022-12-14-08-02-07,1671026555.5469484,-49.791945949303205,135.5928964789645,-12.443501068468505,-1.0236071606080213,0.30660480260849,-0.49507537484169006,0.03260233998298645,-0.22888068854808807,-0.13409119844436646,-0.026500539854168892
2022-12-14-08-02-07,1671026555.5469513,-49.7820110029493,135.57132501982093,-12.443098377595176,-1.025472142314567,0.2880638539791107,-0.5428882241249084,0.009422466158866882,0.015788713470101357,0.025372985750436783,-0.05259053036570549
2022-12-14-08-02-07,1671026555.5909772,-49.768811190416145,135.54485989326463,-12.443002277351852,-1.0264302676302597,0.32077524065971375,-0.6721774935722351,-0.00992434099316597,-0.10891496390104294,-0.03789570927619934,-0.008195984177291393
2022-12-14-08-02-07,1671026555.6254728,-49.7550289568586,135.5123784523528,-12.44419048424493,-1.0264869323838677,0.348990261554718,-0.8109995126724243,-0.018713124096393585,-0.030179783701896667,0.11921001225709915,-0.03159502148628235
2022-12-14-08-02-07,1671026555.666947,-49.74046078636918,135.47869342841983,-12.443628881925095,-1.027045752200057,0.3786590099334717,-0.8636711835861206,0.05218151956796646,0.02628254145383835,0.157876655459404,-0.01988101378083229
2022-12-14-08-02-07,1671026555.714954,-49.724181776983876,135.44549347880522,-12.441879354089577,-1.0232297102769612,0.364889532327652,-0.7288450598716736,0.056248825043439865,0.31445756554603577,0.1913435459136963,0.11282879114151001
2022-12-14-08-02-07,1671026555.7629461,-49.711387328885,135.4193904366765,-12.439297213958701,-1.0214070391254053,0.3550410568714142,-0.6293066740036011,0.06235293298959732,0.2885843813419342,-0.1760827749967575,-0.0002075708471238613
2022-12-14-08-02-07,1671026555.8069732,-49.699043735129564,135.39634654096199,-12.436982382145619,-1.0222318938722443,0.3092893660068512,-0.5602182745933533,0.06465957313776016,0.10082352161407471,0.06207248196005821,-0.02108277939260006
2022-12-14-08-02-07,1671026555.8509533,-49.68517862768589,135.3747217644595,-12.434092640571379,-1.0226633163586056,0.3366910219192505,-0.5057774186134338,0.05745426565408707,0.06734183430671692,-0.30012208223342896,-0.011114466935396194
2022-12-14-08-02-07,1671026555.8989937,-49.672946195811726,135.35608185490855,-12.43308026949509,-1.023705944884422,0.3470732271671295,-0.5175862312316895,0.006764577701687813,-0.322665810585022,0.14359521865844727,-0.026201974600553513
2022-12-14-08-02-07,1671026555.942964,-49.654342156983446,135.33582840418669,-12.433375995683988,-1.0218865836484925,0.4410460591316223,-0.48623716831207275,-0.020488891750574112,0.10540485382080078,-0.0317530632019043,0.06993330270051956
2022-12-14-08-02-07,1671026555.9869635,-49.63579841596214,135.3148481734906,-12.434621929551199,-1.0191970420589913,0.5565457344055176,-0.553693950176239,-0.04048320651054382,-0.12568935751914978,-0.21008357405662537,0.0629735216498375
2022-12-14-08-02-07,1671026555.9869697,-49.60977116133448,135.29205514428216,-12.437000650650617,-1.017802053187005,0.6932212710380554,-0.6197433471679688,-0.0614183247089386,0.02194920927286148,-0.1535801887512207,0.029350727796554565
2022-12-14-08-02-07,1671026556.0309584,-49.57746238261849,135.2638846539761,-12.439986089923876,-1.016627196026313,0.8240530490875244,-0.6894984245300293,-0.06334628909826279,0.07768040150403976,-0.1824684590101242,0.04942523315548897
2022-12-14-08-02-07,1671026556.065801,-49.54549687615085,135.23649320429251,-12.441343954630302,-1.0164416553866007,0.7924124002456665,-0.6889558434486389,-0.028276409953832626,0.0003439486026763916,-0.15072613954544067,-0.02705474942922592
2022-12-14-08-02-07,1671026556.106941,-49.517801471008326,135.21245313626997,-12.441414556188494,-1.0209561852879956,0.6477294564247131,-0.5866227746009827,0.014033418148756027,0.17358136177062988,0.5567221641540527,-0.14889906346797943
2022-12-14-08-02-07,1671026556.1510108,-49.490767691863,135.19025134499867,-12.439821306432817,-1.0240301618263898,0.6099613308906555,-0.5156480669975281,0.028738250955939293,0.04528331011533737,0.15718762576580048,-0.04034417122602463
2022-12-14-08-02-07,1671026556.1949394,-49.46971204309173,135.1710788983749,-12.438136399336123,-1.0244460377528908,0.5482172966003418,-0.4685973525047302,0.06884100288152695,-0.04330906271934509,0.36839795112609863,0.022176893427968025
2022-12-14-08-02-07,1671026556.238998,-49.44677134832282,135.15185100050857,-12.435931793963542,-1.0217464132703087,0.5476144552230835,-0.46812957525253296,0.02173493430018425,-0.175876185297966,-0.16418048739433289,0.07360399514436722
2022-12-14-08-02-07,1671026556.286948,-49.429884768696695,135.13421813412896,-12.436602631421902,-1.0215684554772255,0.5047246217727661,-0.4790780544281006,-0.017129408195614815,0.0035826489329338074,0.07755860686302185,-0.01377459242939949
2022-12-14-08-02-07,1671026556.3309836,-49.40843128130797,135.113060645823,-12.438035454206862,-1.022797565168949,0.5270618200302124,-0.5321613550186157,-0.05519847571849823,-0.00014663487672805786,-0.1422458291053772,-0.0531172975897789
2022-12-14-08-02-07,1671026556.3749497,-49.38845380699408,135.09024256381912,-12.440970306470321,-1.024793280567723,0.5435882806777954,-0.6142596006393433,-0.07781312614679337,-0.023678064346313477,0.03393830731511116,-0.03683166950941086
2022-12-14-08-02-07,1671026556.4189758,-49.36483784298846,135.06307204261017,-12.444275341992796,-1.0260044451529626,0.5579700469970703,-0.6746706366539001,-0.058768920600414276,0.1410975456237793,0.44594135880470276,-0.02032633125782013
2022-12-14-08-02-07,1671026556.4669602,-49.34011583167507,135.03395813177286,-12.445285835090674,-1.0237325714757428,0.6235697865486145,-0.7531663179397583,-0.010829122737050056,0.1805822253227234,0.04517729580402374,0.09761001914739609
2022-12-14-08-02-07,1671026556.4669707,-49.31389160699059,135.00219996840622,-12.447151540376304,-1.0216040289782633,0.5813363790512085,-0.7191482186317444,-0.04450780898332596,0.03314793482422829,-0.0005884673446416855,0.08024535328149796
2022-12-14-08-02-07,1671026556.5109642,-49.29516391557237,134.97875761506293,-12.44805840142053,-1.0212595516010856,0.5114431381225586,-0.6166461706161499,-0.005572430323809385,0.2874870300292969,-0.05578935146331787,-0.05113067850470543
2022-12-14-08-02-07,1671026556.5457282,-49.27651406401885,134.95413643782442,-12.449108620607314,-1.022828121502906,0.42946457862854004,-0.5521886944770813,-0.020855581387877464,0.12921757996082306,0.008377417922019958,-0.010112239979207516
2022-12-14-08-02-07,1671026556.5909486,-49.26107141901944,134.9341882793429,-12.44875655334058,-1.0239557443715426,0.3768846094608307,-0.5050356388092041,0.021529266610741615,0.030703840777277946,-0.025721384212374687,-0.034233685582876205
2022-12-14-08-02-07,1671026556.6349373,-49.24546273487281,134.91334495535915,-12.448985827063956,-1.0237485223803555,0.3584052622318268,-0.49313783645629883,-0.03429190441966057,-0.038058605045080185,-0.09324047714471817,0.050019748508930206
