id,time,vx,vy,vz,wx,wy,wz
2022-12-14-08-02-07,1671026533.5163276,0.7621761560440063,0.0,0.0,0.0,0.0,-0.37327149510383606
2022-12-14-08-02-07,1671026533.5329902,0.7621761560440063,0.0,0.0,0.0,0.0,-0.37327149510383606
2022-12-14-08-02-07,1671026533.549672,0.7621761560440063,0.0,0.0,0.0,0.0,-0.37327149510383606
2022-12-14-08-02-07,1671026533.5663242,0.7621761560440063,0.0,0.0,0.0,0.0,-0.37327149510383606
2022-12-14-08-02-07,1671026533.5829768,0.7621761560440063,0.0,0.0,0.0,0.0,-0.37327149510383606
2022-12-14-08-02-07,1671026533.599685,0.7621761560440063,0.0,0.0,0.0,0.0,-0.37327149510383606
2022-12-14-08-02-07,1671026533.6163461,0.7621761560440063,0.0,0.0,0.0,0.0,-0.37327149510383606
2022-12-14-08-02-07,1671026533.6329925,0.7621761560440063,0.0,0.0,0.0,0.0,-0.37327149510383606
2022-12-14-08-02-07,1671026533.6496363,0.7621761560440063,0.0,0.0,0.0,0.0,-0.37327149510383606
2022-12-14-08-02-07,1671026533.6663342,0.7621761560440063,0.0,0.0,0.0,0.0,-0.37327149510383606
2022-12-14-08-02-07,1671026533.6829877,0.7621761560440063,0.0,0.0,0.0,0.0,-0.37327149510383606
2022-12-14-08-02-07,1671026533.6996536,0.7621761560440063,0.0,0.0,0.0,0.0,-0.37327149510383606
2022-12-14-08-02-07,1671026533.716333,0.7621761560440063,0.0,0.0,0.0,0.0,-0.37327149510383606
2022-12-14-08-02-07,1671026533.7329838,0.7621761560440063,0.0,0.0,0.0,0.0,-0.37327149510383606
2022-12-14-08-02-07,1671026533.7496583,0.7621761560440063,0.0,0.0,0.0,0.0,-0.37327149510383606
2022-12-14-08-02-07,1671026533.7663188,0.7621761560440063,0.0,0.0,0.0,0.0,-0.37327149510383606
2022-12-14-08-02-07,1671026533.7829657,0.7828284502029419,0.0,0.0,0.0,0.0,-0.37327149510383606
2022-12-14-08-02-07,1671026533.799672,0.7828284502029419,0.0,0.0,0.0,0.0,-0.37327149510383606
2022-12-14-08-02-07,1671026533.8163242,0.7828284502029419,0.0,0.0,0.0,0.0,-0.37327149510383606
2022-12-14-08-02-07,1671026533.833039,0.7828284502029419,0.0,0.0,0.0,0.0,-0.37327149510383606
2022-12-14-08-02-07,1671026533.8496537,0.7828284502029419,0.0,0.0,0.0,0.0,-0.37327149510383606
